lon,lat,vs30,z1pt0,z2pt5
167.9263986,-44.67333378000001,500.0,0.075,0.325
167.9255386,-44.67301376999999,500.0,0.075,0.325
171.666362,-43.563193999999996,295.00708,0.725,1.775
172.725601,-43.58467099999999,810.1117,0.075,1.875
172.73135380000002,-43.50685883,500.0,0.605,2.025
173.2836753,-41.27087364999999,238.91142,0.165,1.575
173.2742451,-41.28780402,622.65936,0.205,0.525
173.2768352,-41.266523539999994,455.2146,0.175,2.525
172.7179977,-43.495426389999984,204.54294,0.685,2.225
173.3794768,-41.217102659999995,619.7467,0.055,0.325
168.6609453,-43.996197949999996,244.91325,0.045,0.625
168.378357,-46.586807,297.3943,0.075,0.375
170.9691362,-45.09974458000001,244.91325,0.075,1.275
170.6446222,-45.04398210999999,887.0987,0.055,0.625
172.6605,-43.444599999999994,207.92435,0.755,3.125
172.66429,-43.55618999999999,207.92435,0.135,1.875
170.5977667,-45.884355670000005,1045.6705,0.055,0.925
172.0383,-43.3259,859.4415,0.065,0.325
172.750717,-43.567898,906.94165,0.125,1.775
171.233957,-43.92385999999999,342.30707,0.065,1.175
170.14694,-44.19096799999999,541.5372,0.325,0.325
172.60691620000003,-43.49284604000001,207.92435,0.665,3.325
172.6827711,-43.52581307999999,207.00554,0.485,2.075
166.6806925,-46.166251679999995,999.41046,0.045,0.375
174.0231446,-41.27962569,438.51877,0.065,0.325
172.5291478,-40.82552162,906.94165,0.035,0.325
168.6628861,-45.03215590999999,292.10397,0.065,0.325
172.73265,-43.557933999999996,558.7529,0.125,1.725
173.62927,-41.53971,364.2785,0.235,0.275
171.8643834,-42.11969989999999,263.70322,0.065,0.325
172.63514650000002,-43.52194686,207.00554,0.645,2.575
172.75693,-43.571407,999.41046,0.055,1.675
172.564404,-43.536171999999986,207.92435,0.455,2.025
172.0231473,-43.75146119,207.92435,0.775,1.925
172.3810928,-43.59281801999999,207.92435,0.415,1.425
171.0538649,-43.71460757999999,436.46747,0.045,0.325
167.4725232,-46.14743372999999,364.51547,0.275,0.525
172.61619,-43.50674,207.00554,0.655,3.125
172.25238,-43.8087033,207.00554,0.435,2.075
172.921623,-42.93857277,374.6545,0.075,1.725
166.884842,-45.22066499999999,724.3327,0.085,0.375
174.07645,-41.67229,310.12952,0.695,2.125
172.0257592,-43.391151889999996,240.70601,0.065,0.625
172.6633911,-43.50533675999999,207.92435,0.685,2.525
172.1802864,-42.33457593,366.50098,0.075,0.375
170.5097155,-45.89862582000001,428.8788,0.085,0.375
172.31752,-43.675129999999996,207.00554,0.305,1.875
172.3363,-43.262159999999994,239.50761,0.675,1.825
172.61386110000004,-43.467529299999995,207.92435,0.695,3.375
171.9289382,-43.33797026999999,243.37935,0.035,0.325
171.93008,-43.33679999999999,240.48137,0.035,0.325
172.64112,-43.51361000000001,186.29086,0.685,2.725
172.75681,-43.56921,887.0987,0.045,1.675
172.4953554,-43.369432579999994,239.49861,0.905,3.875
169.138823,-46.53689035,366.37448,0.075,0.625
167.7191112,-45.416673669999994,240.48137,0.185,1.325
174.2763281,-41.210364719999994,1045.6705,0.035,0.275
172.9052183,-41.76247413000001,448.27066,0.055,0.275
170.460576,-44.013313999999994,552.665,0.265,0.325
170.1957102,-46.07183991,309.74628,0.075,0.325
172.78084,-43.82243,810.1117,0.005,1.975
172.4719542,-43.54999716,207.00554,0.445,1.475
171.2444437,-44.402816310000006,298.71432,1.195,2.025
172.8211014,-40.849422909999994,531.9778,0.055,0.325
169.6311433,-45.95397484999999,906.94165,0.065,0.325
170.0983395,-44.25458909,295.00708,0.205,0.325
172.7052401,-42.96310283,259.90897,0.075,0.725
171.5998118,-41.75566052,239.74481,0.165,1.425
171.86346,-43.45775,261.32513,0.005,0.325
